Location,"Mortality Rate, 2014*"
"Jenkins County, Georgia","331.92 (299.15, 363.71)"
"Johnson County, Georgia","294.83 (270.56, 321.19)"
"Jones County, Georgia","267.17 (248.19, 285.90)"
"Lamar County, Georgia","332.67 (308.88, 357.11)"
"Lanier County, Georgia","284.21 (256.39, 314.37)"
"Laurens County, Georgia","352.52 (333.29, 372.31)"
"Lee County, Georgia","265.69 (245.23, 285.31)"
"Liberty County, Georgia","283.49 (264.13, 302.77)"
"Lincoln County, Georgia","346.59 (312.64, 379.31)"
"Long County, Georgia","247.58 (221.72, 273.53)"
"Lowndes County, Georgia","324.83 (308.32, 342.69)"
"Lumpkin County, Georgia","255.46 (236.97, 274.16)"
"Macon County, Georgia","384.95 (356.58, 414.66)"
"Madison County, Georgia","325.27 (304.16, 346.34)"
"Marion County, Georgia","333.98 (305.54, 364.90)"
"McDuffie County, Georgia","316.16 (294.98, 337.53)"
