State,County,"County diagnosed diabetes prevalence for total population, 30+yrs, 2008 (%)",,,
IA,Ida,9.2,,,
IA,Iowa,9.1,,,
IA,Jackson,9.5,,,
IA,Jasper,9.5,,,
IA,Jefferson,7.6,,,
IA,Johnson,7.2,,,
IA,Jones,9.7,,,
IA,Keokuk,10.2,,,
IA,Kossuth,9.0,,,
IA,Lee,10.0,,,
IA,Linn,8.1,,,
IA,Louisa,10.1,,,
IA,Lucas,10.2,,,
IA,Lyon,9.0,,,
IA,Madison,9.3,,,
IA,Mahaska,8.9,,,
IA,Marion,9.1,,,
IA,Marshall,9.2,,,
IA,Mills,9.3,,,
IA,Mitchell,9.2,,,
IA,Monona,9.0,,,
IA,Monroe,9.6,,,
IA,Montgomery,9.8,,,
IA,Muscatine,9.4,,,
IA,O'Brien,8.7,,,
IA,Osceola,9.3,,,
IA,Page,8.8,,,
IA,Palo Alto,9.3,,,
IA,Plymouth,8.1,,,
IA,Pocahontas,8.9,,,
IA,Polk,8.6,,,
IA,Pottawattamie,10.0,,,
IA,Poweshiek,8.7,,,
IA,Ringgold,9.9,,,
IA,Sac,9.1,,,
IA,Scott,8.8,,,
IA,Shelby,8.8,,,
IA,Sioux,8.2,,,
IA,Story,7.8,,,
IA,Tama,10.0,,,
IA,Taylor,10.3,,,
IA,Union,8.9,,,
IA,Van Buren,9.9,,,
IA,Wapello,10.0,,,
IA,Warren,9.1,,,
IA,Washington,8.8,,,
IA,Wayne,10.3,,,
IA,Webster,9.8,,,
IA,Winnebago,9.1,,,
IA,Winneshiek,8.3,,,
IA,Woodbury,9.2,,,
IA,Worth,9.4,,,
IA,Wright,9.4,,,
KS,Kansas*,10.0,,,
KS,Allen,10.6,,,
KS,Anderson,9.7,,,
